title,video_url,label,label_desc,channel
Change Date of Birth in Aadhar Card Online - aadhar card me dob kaise change kare | Latest Process,https://www.youtube.com/watch?v=3mcqwBkOEQc,4,Others,ISHAN MONITOR
Cooking A Hot Dog With Electricity 😮,https://www.youtube.com/watch?v=auOEpUmbJ74,2,Entertainment,Zack D. Films
Udaarian (Badi lambi hai kahani mere pyaar di) - Satinder Sartaaj | Love Songs | New Punjabi Songs,https://music.youtube.com/watch?v=9udS0mpi1L4,3,Music,SagaHits
What is CONSISTENT HASHING and Where is it used?,https://www.youtube.com/watch?v=zaRkONvyGr8,1,Learning,Gaurav Sen
SUNIYAN SUNIYAN (Official Video) Juss x MixSingh,https://www.youtube.com/watch?v=AKH6ZNSnWOA,3,Music,MixSingh
3 Hairstyle Indians Should Avoid ❌ || #shorts #viral,https://www.youtube.com/watch?v=oTRrEgKbFdQ,2,Entertainment,Mr Men Fashion
Address Sequencing || Microprogram Sequencer || Computer Organization Architecture,https://www.youtube.com/watch?v=nxNytEYQLKI,1,Learning,Sudhakar Atchala
303👿👿👿👿👿👿👿🦅🦅👿👿🦅🦅,https://www.youtube.com/watch?v=StvNVIs7IgQ,2,Entertainment,S S B Deewana Subodh 
Jhol x Jhol | Full Version | Remix Song | Classic Version,https://music.youtube.com/watch?v=vZ2TMqPxCuc,3,Music,Classic Version
Flex Paste Boat !,https://www.youtube.com/watch?v=16VVTwOyf2U,2,Entertainment,Kunal Saini
Translation lookaside bufferTLB,https://www.youtube.com/watch?v=LSNoXaairdM,1,Learning,Easy Learning with Nisha
I smashed a billion-dollar bottle and found a genie inside.,https://www.youtube.com/watch?v=KqjI-JuvgBE,2,Entertainment,Haihuan Movies
Luka Chuppi: Duniyaa Lo-Fi Mix | DJ AQEEL | Kartik Aaryan Kriti Sanon | Akhil | Dhvani B | T-Series,https://music.youtube.com/watch?v=XEQyMUSL2Z8,3,Music,T-Series
Unreal Engine 5 - add PCG to any mesh!,https://www.youtube.com/watch?v=1779uMy2MwY,1,Learning,3D College
2D and 2 5D Memory Chip Organization,https://www.youtube.com/watch?v=ivzRk47SXOE,1,Learning,TutorialsPoint
Front Heel Liner Toe Plug Cushion @alazizstoreofficial8522,https://www.youtube.com/watch?v=TNcD4cFebFY,2,Entertainment,AL Aziz Store Official
Pyar Ki Pungi [Slowed+Reverb],https://www.youtube.com/watch?v=co6t-Yjg26U,3,Music,2 p a n d a☆
3 PEG,https://music.youtube.com/watch?v=Y88VH17s9Bs,3,Music,Sharry Maan - Topic
Java Unit-1 ONE SHOT Gateway Classes AKTU,https://www.youtube.com/watch?v=I0AHMyrjMVs,1,Learning,GateWay Classes
"युद्ध में सिर्फ दुश्मन नहीं मरते, सपने भी मरते हैं #shorts",https://www.youtube.com/watch?v=mMV0WQyGVyk,2,Entertainment,Movie Mantra
Theory of Automata & Formal Languages | Deterministic Finite Automaton (DFA)- Defination | AKTU,https://www.youtube.com/watch?v=AJfBGiP710g,1,Learning,AKTU Digital Education
"Casting, assembling, and glazing my new textured gradient mugs #pottery #ceramics #slipcasting",https://www.youtube.com/watch?v=cogBFQ06Q7A,2,Entertainment,Turn Studio
MOUNTAIN CLIMBERS 🔥 Beginner vs Advanced 🙌🏽  #shorts,https://www.youtube.com/watch?v=0LvR42Z599c,2,Entertainment,Romane Lanceford
Excuses (Official Video) | AP Dhillon | Gurinder Gill | Intense,https://music.youtube.com/watch?v=vX2cDW8LUWk,3,Music,Intense
Cremation Set The Roof On Fire 😱,https://www.youtube.com/watch?v=-btPSgYethg,2,Entertainment,Zack D. Films
Proper Patola - Official Video | Namaste England | Arjun | Parineeti | Badshah | Diljit | Aastha,https://www.youtube.com/watch?v=YmXJp4RtBCM,3,Music,Sony Music India
3.8 Minimal Cover or Canonical Cover or Irreducible set of Functional Dependencies,https://www.youtube.com/watch?v=o0GQQFu-5C0,1,Learning,KnowledgeGATE by Sanchit Sir
इतनी दर्दनाक मौत मामा शकुनि को श्री कृष्ण क्यों दी||#shorts#youtubeshorts#mahabharat,https://www.youtube.com/watch?v=TCh0J_s-hqw,2,Entertainment,Nkspark studio
SUNIYAN SUNIYAN (Official Video) Juss x MixSingh,https://www.youtube.com/watch?v=AKH6ZNSnWOA,3,Music,MixSingh
Teeje Week,https://music.youtube.com/watch?v=qNq3Qx7oQHE,2,Entertainment,Jordan Sandhu - Topic
How to install an app using Ubuntu Terminal,https://www.youtube.com/watch?v=BPg-hvuEJBE,1,Learning,HACK the FUTURE of EDUCATION
Ex- 7.3 Q- 5 to Q- 8 || Commercial Mathematics  class 8 | maths spark class 8 Solution #Maths #intro,https://www.youtube.com/watch?v=Ba49c5raTd4,1,Learning,Make Math Easy With Aman
Inside the Mind of a Master Procrastinator | Tim Urban | TED,https://www.youtube.com/watch?v=arj7oStGLkU,2,Entertainment,TED
Тимур Рагга / ТОП СЕКРЕТЫ ВЛИЯНИЯ / Часть 1,https://www.youtube.com/watch?v=6w42OjxJ3-4,3,Music,Не стой на месте — про бизнес
How to Deadlift 🔥 Save your spine!,https://www.youtube.com/watch?v=HrXR9MxcU8g,2,Entertainment,Davis Diley
How Rabies Spreads From Bite to Brain,https://www.youtube.com/watch?v=joREWdgRg9w,2,Entertainment,Institute of Human Anatomy
Scientists Just Cured Paralysis with 3D-printed Spinal Cords,https://www.youtube.com/watch?v=IK4vZp2T_zM,2,Entertainment,Dr Ben Miles
Lucknow University Entrance Exam 2025 Form  | कब होगा LU Entrance Exam 2025 | How To Apply,https://www.youtube.com/watch?v=xQOLJgmV57s,4,Others,Target Gurukul
desatorar fácil con esto ☝🏻,https://www.youtube.com/watch?v=A32MvzQhyr8,3,Music,el kaiser YT
Bande O Tere Khas Ne-Jaan (feat. Shree Brar),https://music.youtube.com/watch?v=RTKFT2GmPYU,3,Music,Barbie Maan - Topic
https://www.youtube.com/watch?v=VjiRcvNfKvg,https://www.youtube.com/watch?v=VjiRcvNfKvg,4,Others,Unknown
Made In India,https://music.youtube.com/watch?v=44CKTwN-zDY,3,Music,Guru Randhawa - Topic
2.17 What is Hasse Diagram in Discrete Mathematics How to Draw,https://www.youtube.com/watch?v=KVdzsIjLTQk,1,Learning,KnowledgeGATE by Sanchit Sir
अयोध्या आने से पहले ये विडियो ज़रूर देखें ! | Ayodhya Travel Guide | Ayodhya Tourism,https://www.youtube.com/watch?v=WaAXEMSPvBE,4,Others,Hyper Quest
Nothing better than wet wood on a snowy day. #spooncarving #bushcraft #asmr #woodworking,https://www.youtube.com/watch?v=wliIY84KHV8,2,Entertainment,SquatchandSons_Customs
Download Any Book 📚 PDF 100% Free // कोई भी किताब फ़्री में डाउनलोड करें //,https://www.youtube.com/watch?v=l1EUWsDIC0s,4,Others,Study for Dreams
California Love,https://music.youtube.com/watch?v=eD8lmkBCma4,3,Music,Cheema Y - Topic
Here’s How To IMMEDIATELY Escape The Friendzone,https://www.youtube.com/watch?v=woOJ-ybmu6M,2,Entertainment,Vaishnavi Menon
2024 Hairstyle Trend For Indian 🇮🇳 Men,https://www.youtube.com/watch?v=T57JfXqmiXM,2,Entertainment,BeYourBest Shorts
Tu Aake Dekhle,https://music.youtube.com/watch?v=E9zWVQypoSM,3,Music,King - Topic
Pee Loon (Slowed Reverb) | Rigs |,https://www.youtube.com/watch?v=_PWiZ4G8anA,3,Music,Rigs
Is This The Greatest Linux Era That’s Ever Lived? #tech #shorts #pc #technology,https://www.youtube.com/watch?v=DXaFkA6Hovc,1,Learning,Salem Techsperts
JAX in 100 Seconds,https://www.youtube.com/watch?v=_0D5lXDjNpw,1,Learning,Fireship
#3 IDAV/Data Analytics Unit-3 One Shot (most important topics)||  B.Tech 3rd yr || @brevilearning,https://www.youtube.com/watch?v=aYSKlKqMMdM,1,Learning,Brevi Learning
Determine FA accepted by the Regular Expression | (0+1)*0(0+1)*0(0+1)* | TOC | TAFL | COMPILER,https://www.youtube.com/watch?v=nlmtrsdT7ZI,1,Learning,CSE ACADEMY
Pushing a Raspberry Pi 5 to the LIMIT....,https://www.youtube.com/watch?v=HIcGbEoqBDo,1,Learning,Zac Builds
This 60 Years Old Nuclear Device Was Never Found — And It May Affect the Ganga Today #shorts,https://www.youtube.com/watch?v=JNSzQJlK5h8,2,Entertainment,Harsh decodes
Ara Ke Othlali Mein - Slowed And Reverb | Pawan Singh New Song #pawansingh,https://www.youtube.com/watch?v=MHQ7YSO28ZY,3,Music,Lofi Roxx
JAX Tutorial: The Lightning-Fast ML Library For Python,https://www.youtube.com/watch?v=wq-UsiOkBRU,1,Learning,NeuralNine
"Barbaad Song | Saiyaara | Ahaan Panday, Aneet Padda | The Rish | Jubin Nautiyal",https://www.youtube.com/watch?v=nzZLiiuIZmY,3,Music,Edit Groww
IF I DIE (Official Video) - Guri Lahoria | Devilo | Grand Studio,https://music.youtube.com/watch?v=S4XjqcZN5rY,2,Entertainment,Grand Studio
Don't cuddle small animals outdoors #movie #film,https://www.youtube.com/watch?v=Qc3nLfItVv0,2,Entertainment,Katherine D Jones
Consider This When You Are Buying Your Child A Swimsuit This Summer.,https://www.youtube.com/watch?v=F0sJXfFlaGY,2,Entertainment,Wholesome Gramps
Jeene Laga Hoon (Slowed Reverb) | Rigs,https://www.youtube.com/watch?v=7LvMZDBrKGg,3,Music,Rigs
How to build logics in programming,https://www.youtube.com/watch?v=HbNfCM4ilBQ,1,Learning,Chai aur Code
Still trusting random stock tips? Try Univest!,https://www.youtube.com/watch?v=YHIIG5fzqHg,4,Others,Unknown
Maltose Syrup: From Sprouted Malt to Sweet Treat,https://www.youtube.com/watch?v=Qr5otnJsX8k,2,Entertainment,WonderBites
The 4 Projects That Get You Out of Web Dev,https://www.youtube.com/watch?v=CwznNoeiCRg,1,Learning,How I Met Your Coder
My Foot Vs illegal Football Boots ⚽️,https://www.youtube.com/watch?v=Gl7MSLLE5nU,2,Entertainment,SupEfron
HUA MAIN - ANIMAL (Lyrics),https://music.youtube.com/watch?v=Djnq_L5N_AA,3,Music,MP Music
Tinku Jiya song (slow and reverb) .,https://www.youtube.com/watch?v=I6bBo19Dqdk,3,Music,The Anand Aditya
"Sahiba (Official Music Video) : Aditya Rikhari, Ankita Chhetri | T-Series",https://www.youtube.com/watch?v=n2dVFdqMYGA,3,Music,T-Series
FCFS SSTF SCAN CSCAN LOOK CLOOK Solved Example in Hindi | Disk Scheduling Sums | OS Lectures,https://www.youtube.com/watch?v=dEt7mr9R_Z8,1,Learning,Last moment tuitions
BEST OF BLUETOOTH ERA JUKEBOX | DJ JITS | HONEY SINGH | IMRAN KHAN | BEWAFA | AAJA WE MAHIYA,https://www.youtube.com/watch?v=gqQRpQOtNG4,3,Music,DJ JITS
Doctor Reacts: sand worms?!,https://www.youtube.com/watch?v=R2_ZJAveyLc,2,Entertainment,Doctor Myro
Mann Mera (Original Version),https://music.youtube.com/watch?v=s_GR_TDK07I,3,Music,Gajendra Verma - Topic
0. Announcing Chai aur DSA,https://www.youtube.com/watch?v=9J1R3NVsT3Y,1,Learning,Chai aur Code
Dil Luteya,https://music.youtube.com/watch?v=hifVLNuEJeA,3,Music,Jazzy B - Topic
Ara Ke Othlali Mein - Slowed And Reverb | Pawan Singh New Song #pawansingh,https://www.youtube.com/watch?v=MHQ7YSO28ZY,3,Music,Lofi Roxx
"Chahun Main Ya Naa Full Video Song Aashiqui 2 | Aditya Roy Kapur, Shraddha Kapoor",https://www.youtube.com/watch?v=VdyBtGaspss,3,Music,T-Series
TU AAKE DEKH LE | KING 👑 | SLOWED-REVERB | NIGHT RLXX,https://www.youtube.com/watch?v=Q3WfedW2i-s,3,Music,♫︎ 𝙽𝙸𝙶𝙷𝚃 Rʟxx ♡︎
"🫢Sniper fires shocking shot from 10 km away! | Real target hit"" #shorts",https://www.youtube.com/watch?v=coTdntiLtMM,2,Entertainment,VibeVerse
https://music.youtube.com/watch?v=hLGnP36Q48w,https://music.youtube.com/watch?v=hLGnP36Q48w,4,Others,Unknown
Inside Micron Taiwan’s Semiconductor Factory | Taiwan’s Mega Factories EP1,https://www.youtube.com/watch?v=WKHKy89QaV0,2,Entertainment,TaiwanPlus Docs
"Manohari - Full Video | Baahubali - The Beginning | Prabhas, Rana D, Anushka Shetty,Tamannaah Bhatia",https://www.youtube.com/watch?v=3Yorve1_1Sg,3,Music,Romance Rewind
Lighthearted rural life depictions packed with laughs and warmth 😂🏡,https://www.youtube.com/watch?v=ePAE6DnTK2I,2,Entertainment,Nt news barta
Bash Scripting Tutorial for Beginners,https://www.youtube.com/watch?v=tK9Oc6AEnR4,1,Learning,freeCodeCamp.org
THIS PORTFOLIO IS INSANE - Roasting your dev sites #3,https://www.youtube.com/watch?v=lO3Fvz06lzc,1,Learning,Anthony Sistilli
Lec-13: K-mean Clustering with Numerical Example | Unsupervised Learning | Machine🖥️ Learning 🙇‍♂️🙇,https://www.youtube.com/watch?v=5FpsGnkbEpM,1,Learning,Gate Smashers
I Tried to Convince Intelligent AI NPCs They are Living in a Simulation,https://www.youtube.com/watch?v=aihq6jhdW-Q,1,Learning,TmarTn2
Realme C65 5G (RMX3997) || FRP Bypass || Android 15 || Nearby Share Camera test Youtube Not Working.,https://www.youtube.com/watch?v=A1JaXIt24_w,4,Others,Shivam Mobile Tech Plus
How to Make Your First Game in Unreal Engine 5 in 2024 - Full Course,https://www.youtube.com/watch?v=zt13VcimeyI,1,Learning,Gorka Games
Rabb Wangu : Jass Manak (Full Video)  | Punjabi Song | Geet MP3,https://music.youtube.com/watch?v=0pB0vSZnMBw,3,Music,Geet MP3
A bag contains 10 white and 15 black balls. Two balls are drawn succession without replacement....,https://www.youtube.com/watch?v=CxiJ8fZJf9E,1,Learning,Doubtnut
Pirates Of The Caribbean Ringtone 2020|Captain Jack Sparrow Ringtone|Instrumental Viral Ringtone|,https://www.youtube.com/watch?v=045rhSYYz8w,3,Music,VR7 CLUB
Barbaad Reprise - Female (Movie: Saiyaara),https://music.youtube.com/watch?v=o5yvXwmqSVk,3,Music,Shilpa Rao - Topic
Top 11 Places In Varanasi You Must Visit | Curly Tales,https://www.youtube.com/watch?v=890MOuBOUGE,4,Others,Curly Tales 
Arch Install and Hyprland setup,https://www.youtube.com/watch?v=lfUWwZqzHmA,1,Learning,Sol Does Tech
Angular vs React Funny Video | VueJS | Solid JS,https://www.youtube.com/watch?v=LLbMm17MwBs,1,Learning,Programming with Rakesh
Gal Sun - Sabaat Batin ft. Rackstar | Official Music Video | SkillMill Records,https://www.youtube.com/watch?v=LZymeRtax3Q,3,Music,SkillMill Records
Most Girls,https://music.youtube.com/watch?v=I0XlpSnJMqQ,2,Entertainment,Hailee Steinfeld - Topic
Fishing on a Frozen lake #fishing #fish #camping,https://www.youtube.com/watch?v=43VAkQJ8kJE,2,Entertainment,RAMPE
Nagin Dance,https://music.youtube.com/watch?v=NvAMPqIcn-I,3,Music,Jaidev Kumar - Topic
"A Man❌ A Husband✅,A Brother ✅,A Father ✅,A Son✅#shortvideo #boy",https://www.youtube.com/watch?v=ufcZigaqe1A,2,Entertainment,Himanshu Jaiswal 
Other Sandcastles VS this guy 💀🏝️,https://www.youtube.com/watch?v=Hxys33CjGaU,2,Entertainment,RandomlyLegend
"Jeene Laga Hoon - Lofi Mix | Ramaiya Vastavaiya | Girish Kumar | Shruti | Atif Aslam, Shreya Ghoshal",https://www.youtube.com/watch?v=Tj58nPb_xYk,3,Music,Bollywood Collection
MODIFICATIONS OF TURING MACHINE | TURING MACHINE VARIANTS | TAFL | TOC| Automata theory #tafl #toc,https://www.youtube.com/watch?v=1-9UZo6lvQk,1,Learning,Learn CS with Arshi
How To apply ABC CARD | ABC ID card Kaise banaye | How to Create ABC ID Card Online 2024,https://www.youtube.com/watch?v=oeLdD6VgkQY,4,Others,Sarkari DNA
Dhundhala,https://music.youtube.com/watch?v=AnAs45V8CEg,3,Music,Yashraj - Topic
Floating Point Number Representation in IEEE 754 in Hindi | COA Lectures,https://www.youtube.com/watch?v=T_Wxrp-2DZQ,1,Learning,Last moment tuitions
NSS | What is NSS | Certificates and Camps in NSS | NSS INDIA,https://www.youtube.com/watch?v=irke6j3xya4,4,Others,BSSS NSS INDIA
🔍 ENT Doctor Ear Examination — What’s Hiding Inside? #earcare #earhealth #checkup,https://www.youtube.com/watch?v=xFIh_EYJ6A8,2,Entertainment,The Daily Dose
Kaun Nachdi (Video) | Sonu Ke Titu Ki Sweety | Guru Randhawa | Neeti Mohan,https://www.youtube.com/watch?v=NbWKYgaWzbI,3,Music,T-Series
DMA Controller | Hindi | Lec-62 | COA | Niharika Panda,https://www.youtube.com/watch?v=NiCCzFXoZhA,1,Learning,Education 4u - Hindi
Install kali linux on android natively | Kali Nethunter pro installation 2024,https://www.youtube.com/watch?v=OiU_VK8GXY4,1,Learning,orailnoor
"🧬 “She’s Not Human Anymore…” — Lucy Eats, Reloads, and Commands with a Gun 🔫🧠#edit #movie",https://www.youtube.com/watch?v=BnGMEUPrlXo,2,Entertainment,FuturePunk Recap
BCD adder | very easy | aasaan padhaai,https://www.youtube.com/watch?v=t3Va3mBsvmQ,1,Learning,Aasaan padhaai
Badli Si Hawa Hai,https://music.youtube.com/watch?v=MmrSzofI3r0,3,Music,Anirudh Ravichander - Topic
Shave & Face Massage ASMR 😱|| #asmr #asmrvideo #asmrsounds #massage #shorts #shortvideo #ytshorts ||,https://www.youtube.com/watch?v=WmHtvYdMrHM,2,Entertainment,Beauty Basics 
Aram Ata Hai Deedar Se Tere (Ek Lamha) Slowed + Reverb _ Lyrics @Azaan sami khan,https://www.youtube.com/watch?v=COCVnAL6VBo,3,Music,MOiZZ KHAN YT
Lec-1: Syllabus of TOC(Theory of Computation) for GATE | UGC NTA NET | Imp Points,https://www.youtube.com/watch?v=XslI8h7cGDs,1,Learning,Gate Smashers
Why your website should be under 14kB in size,https://www.youtube.com/watch?v=ciNXbR5wvhU,1,Learning,The PrimeTime
Lec-50: What is Pushdown Automata in TOC | Definition & Explanation in Hindi,https://www.youtube.com/watch?v=7lcwlNNCP1E,1,Learning,Gate Smashers
Qayde Se Lofi Flip(Remix By Iampratheek),https://music.youtube.com/watch?v=WURKlkPNE38,3,Music,Arijit Singh - Topic
"Balam Pichkari Remix (Remix By Dj Star,Dj Harsh Bhutani)",https://music.youtube.com/watch?v=xi8nZ9DjYbw,3,Music,Vishal Dadlani - Topic
राजा जी | Raja Ji - Pawan Singh | Shivani Singh | Aastha Singh - Bhojpuri Hit Song,https://www.youtube.com/watch?v=EI8PTd9Xh8Y,3,Music,Aadishakti Films
"Bulleya Sultan (Slow+Reverb) | Salman Khan, Anushka Sharma | Papon | Vishal&Shekhar | Irshad Kamil",https://www.youtube.com/watch?v=Ch17b7UUbZE,3,Music,slow and reverb edition
"ISHARE TERE Song | Guru Randhawa, Dhvani Bhanushali | DirectorGifty | Bhushan Kumar",https://www.youtube.com/watch?v=8nGFWWJLHio,3,Music,T-Series
Chhalakata Hamro Jawaniya (slowed+reverb) | Bhojpuri song| Chandan Vibxz,https://www.youtube.com/watch?v=whd-5ZodMSY,3,Music,Chandan Vibxz
"Ude Dil Befikre (From ""Befikre"")",https://music.youtube.com/watch?v=Sxu8wHE97Rk,3,Music,Vishal - Shekhar - Topic
